OTUName	P01_180	P02_180	P03_180	P04_180	P05_180	P06_180	P07_180	P08_180	P09_180	P10_180
OTU1	12.8287125374816	8.37722596036455	12.8669007396769	8.44475831059428	8.26502293124135	12.8078020778979	12.8184227397902	12.7728294825792	12.8066608684961	12.7680892067858
OTU314	1.25980638297956	0	0.950648040864708	0	0	0	0	0	0	0
OTU1936	0	1.83033150047691	0	2.36438489413026	0.571535973742021	0	0	0	0	0
OTU3202	0	3.41529400119807	0	3.10135048829646	3.89346406862938	0	0	0	0	0
OTU5247	0	0.830331500476914	0	0.779422393409101	0	0	0	0	0	0
OTU5508	2.25980638297956	0.830331500476914	3.27257613575207	6.13697439802718	1.57153597374202	1.12217723817153	0	0	0.837274347153797	5.29567528523939
OTU5631	0	0.830331500476914	0	1.7794223934091	1.57153597374202	0	0	0	0.837274347153797	0
OTU6341	3.58173447786693	7.77284600581615	3.53561054158586	7.62491244435348	7.85693819260427	2.12217723817153	2.81807056230993	3.90941752363756	2.8372743471538	3.15817176148945
OTU7082	0	0	0.950648040864708	0	0	0	0	0	0.837274347153797	0
OTU7563	4.25980638297956	0	4.27257613575207	2.7794223934091	0	2.70713973889268	1.81807056230993	2.90941752363756	2.8372743471538	3.15817176148945
OTU7866	0	0	0.950648040864708	0	0	0	0	0	0	2.83624366660209
OTU8177	0	0	0	3.7794223934091	0	0	0.818070562309933	0	0	0
OTU8331	0	0	0	1.7794223934091	0	0	0	0.909417523637558	0	0
OTU8544	0	0	0	0.779422393409101	0.571535973742021	0	0	0	0	0
OTU8922	0	0	0	0.779422393409101	0.571535973742021	0	0	0	0	0
OTU10041	1.25980638297956	0	0	0	0	0	2.40303306303109	0	0	0
OTU10451	7.36833083975773	12.6501114323154	7.67856849542791	12.5509118629097	12.7206479644489	6.95506725233627	7.22746149844764	7.53877414371717	7.565194801717	7.3598056226591
OTU12008	1.25980638297956	0	0	0.779422393409101	0	0	0	0.909417523637558	0	0.836243666602091
OTU12808	2.25980638297956	0	0.950648040864708	0	0	0	0	0	0	0
OTU14851	1.25980638297956	0	0	0	0	1.12217723817153	0	0	0	0
